(2045, ((('cue', (0.15629028943752063, 1.5133860269969597)), ('red', (0.7100226073337639, 1.4155459688536118)), ('blue', (0.48014680012785127, 0.7034229265211279)), ('yellow', (0.322401522946168, 1.2592854146315007))), 'pot yellow ball into middle_left pocket with a bank shot')), Success Rate: 4 / 10 = 0.4
(0, ((('cue', (0.11245595349932312, 0.47427870741977574)), ('yellow', (0.9192109328653595, 0.6874222411368218)), ('blue', (0.2835435450491415, 1.6535865358303279)), ('red', (0.8130467582776302, 1.0860099813083968))), 'pot blue ball into top_right pocket directly')), Success Rate: 4 / 10 = 0.4
(409, ((('cue', (0.6565582361388773, 0.28800474267552023)), ('blue', (0.09145839117367144, 0.38690947199925474)), ('yellow', (0.9125955273524474, 1.2521168868956851)), ('red', (0.549121868269565, 1.9027655964730337))), 'pot red ball into top_left pocket indirectly')), Success Rate: 0 / 10 = 0.0
(1227, ((('cue', (0.8697691424660656, 1.5742471089423147)), ('red', (0.3355625685307426, 1.7620636381048949)), ('yellow', (0.4312292336661152, 1.7958156472593176)), ('blue', (0.8290873671813633, 0.2065337615145099))), 'pot red ball into bottom_left pocket with a bank shot')), Success Rate: 2 / 10 = 0.2
(2863, ((('cue', (0.6930213337431631, 0.8238265954389901)), ('blue', (0.4913571706997859, 0.18316380639096233)), ('yellow', (0.5075380826911571, 0.7370965857979597)), ('red', (0.14809512839798103, 0.6900899015900184))), 'pot red ball into top_left pocket with a bank shot')), Success Rate: 0 / 10 = 0.0
(2454, ((('cue', (0.8208449071990755, 0.7002975623695991)), ('yellow', (0.05947621003101952, 0.7308515503653684)), ('blue', (0.6442114175648687, 1.8188530617324614)), ('red', (0.7373556759343874, 1.645792368278525))), 'pot yellow ball into bottom_left pocket indirectly')), Success Rate: 0 / 10 = 0.0
(1636, ((('cue', (0.19950742054697357, 1.001675814678753)), ('red', (0.8831493722145192, 0.5564202745024167)), ('yellow', (0.21518826582677514, 0.5994982342901441)), ('blue', (0.802259379565998, 1.8925237274973463))), 'pot yellow ball into top_right pocket with a bank shot')), Success Rate: 0 / 10 = 0.0
(818, ((('cue', (0.5010625428579502, 1.6803277139199657)), ('yellow', (0.06129019063342278, 1.2531945112348473)), ('red', (0.42572440542577805, 1.098830297000503)), ('blue', (0.7077263309891026, 0.45364693576548865))), 'pot blue ball into middle_right pocket with a bank shot')), Success Rate: 0 / 10 = 0.0
(2455, ((('cue', (0.24112681129172142, 1.6637550756021124)), ('blue', (0.6084480422669218, 1.1647831891023328)), ('yellow', (0.1819495017188758, 0.0509827825931371)), ('red', (0.5392278486700947, 1.408398900941905))), 'pot blue ball into middle_left pocket indirectly')), Success Rate: 6 / 10 = 0.6
(2046, ((('cue', (0.9247598000180327, 0.7279913668408182)), ('red', (0.5781653055975653, 0.5382247896625478)), ('yellow', (0.2802864975995345, 1.444790636806005)), ('blue', (0.5708573619471223, 0.049895273576639615))), 'pot blue ball into middle_right pocket with a bank shot')), Success Rate: 0 / 10 = 0.0
(8873, ((('cue', (0.5400336519742711, 1.745354952807652)), ('yellow', (0.14680823446652586, 1.714795621356785)), ('blue', (0.3038791186407953, 1.311106366968672)), ('red', (0.7261713830430582, 0.7568209629650606))), 'pot blue ball into middle_left pocket directly')), Success Rate: 9 / 10 = 0.9
